epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
42,2330.23,1.42536,0.88571,0.00261,0.70273,0.72481,0.76766,0.53543,1.18203,0.92253,0.00335,0.000990365,0.000990365,0.000990365
43,2387.91,1.43765,0.89259,0.00256,0.66379,0.72052,0.72381,0.50369,1.17545,0.98131,0.00328,0.000973861,0.000973861,0.000973861
44,2444.5,1.43245,0.87466,0.00255,0.67057,0.7031,0.7261,0.5077,1.18844,0.9831,0.00333,0.000957358,0.000957358,0.000957358
45,2500.73,1.41959,0.87628,0.00253,0.69496,0.69774,0.7457,0.51927,1.175,0.94984,0.00325,0.000940855,0.000940855,0.000940855
46,2556.13,1.42197,0.87407,0.00255,0.69063,0.71903,0.75219,0.52502,1.17501,0.9039,0.0033,0.000924352,0.000924352,0.000924352
47,2613.03,1.41445,0.87171,0.00256,0.69978,0.71341,0.75773,0.52926,1.16386,0.90812,0.00328,0.000907848,0.000907848,0.000907848
48,2667.73,1.43309,0.87503,0.00253,0.70075,0.714,0.75063,0.52417,1.17282,0.9363,0.00329,0.000891345,0.000891345,0.000891345
49,2721.1,1.43406,0.87112,0.00252,0.69605,0.71309,0.75177,0.52221,1.16459,0.92081,0.00327,0.000874842,0.000874842,0.000874842
50,2775.45,1.41975,0.85866,0.00249,0.69248,0.72534,0.74984,0.52624,1.15899,0.95332,0.00326,0.000858338,0.000858338,0.000858338
51,2830.07,1.40817,0.85636,0.00249,0.6848,0.72162,0.74253,0.51711,1.17194,0.94896,0.00326,0.000841835,0.000841835,0.000841835
52,2884.63,1.41042,0.84935,0.0025,0.68216,0.71,0.73442,0.515,1.17643,0.94604,0.00332,0.000825332,0.000825332,0.000825332
53,2939.14,1.41,0.84319,0.0025,0.70624,0.72585,0.76175,0.53376,1.16188,0.90603,0.00323,0.000808828,0.000808828,0.000808828
54,2993.48,1.3975,0.84238,0.00245,0.68723,0.7036,0.73493,0.51305,1.16456,0.94879,0.00322,0.000792325,0.000792325,0.000792325
55,3047.88,1.38088,0.82437,0.00244,0.70551,0.72648,0.75226,0.52932,1.15309,0.9244,0.00318,0.000775822,0.000775822,0.000775822
56,3102.44,1.39942,0.82921,0.00245,0.69765,0.73528,0.75891,0.53183,1.15852,0.91577,0.00322,0.000759318,0.000759318,0.000759318
57,3156.89,1.38841,0.82672,0.00244,0.69572,0.72196,0.7536,0.52944,1.15893,0.92858,0.00323,0.000742815,0.000742815,0.000742815
58,3211.33,1.37908,0.81749,0.00244,0.68509,0.71241,0.73392,0.51574,1.16196,0.96697,0.00319,0.000726312,0.000726312,0.000726312
59,3265.87,1.38681,0.81557,0.00237,0.67998,0.71257,0.74015,0.51788,1.14862,0.93502,0.00318,0.000709809,0.000709809,0.000709809
60,3320.28,1.37527,0.8155,0.00239,0.69584,0.71903,0.74703,0.52314,1.15793,0.90694,0.0032,0.000693305,0.000693305,0.000693305
61,3374.76,1.38379,0.81878,0.00243,0.69954,0.71617,0.74851,0.5238,1.16184,0.91389,0.0032,0.000676802,0.000676802,0.000676802
62,3429.33,1.37963,0.81474,0.00237,0.6862,0.713,0.73421,0.51582,1.15505,0.94014,0.00319,0.000660299,0.000660299,0.000660299
